time,field,initial_residual,final_residual
0.0058,Ux,0.005091260593,1.127475806e-15
0.0058,Uy,0.2699010586,1.096275916e-13
0.0058,p,0.1612606541,3.498264198e-09
0.0058,p,4.173418086e-09,4.173418086e-09
0.0058,p,1.932349973e-08,2.98296511e-09
0.0058,p,2.982965143e-09,2.982965143e-09
0.006,Ux,0.01027877889,8.387901941e-16
0.006,Uy,0.01252040754,1.442274078e-15
0.006,p,0.1706821533,3.644836496e-09
0.006,p,3.111573669e-09,3.111573669e-09
0.006,p,1.063310726e-08,1.844692172e-09
0.006,p,1.844692152e-09,1.844692152e-09
0.006,Ux,0.004977581696,1.090520608e-15
0.006,Uy,0.2670463014,1.081947244e-13
0.006,p,0.1615482566,3.48986564e-09
0.006,p,4.164551789e-09,4.164551789e-09
0.006,p,1.906201961e-08,2.963423227e-09
0.006,p,2.96342326e-09,2.96342326e-09
0.0062,Ux,0.009966184212,7.982019327e-16
0.0062,Uy,0.01215959374,1.380873075e-15
0.0062,p,0.1706176729,3.631943141e-09
0.0062,p,3.100874444e-09,3.100874444e-09
0.0062,p,1.04908655e-08,1.829855664e-09
0.0062,p,1.829855644e-09,1.829855644e-09
0.0062,Ux,0.004868011612,1.078858802e-15
0.0062,Uy,0.2643073835,1.067975608e-13
0.0062,p,0.1618021634,3.483667337e-09
0.0062,p,4.158268664e-09,4.158268664e-09
0.0062,p,1.881874874e-08,2.945111713e-09
0.0062,p,2.945111746e-09,2.945111746e-09
0.0064,Ux,0.009671515767,7.824191074e-16
0.0064,Uy,0.01179462653,1.320887479e-15
0.0064,p,0.1705856191,3.623914649e-09
0.0064,p,3.09424839e-09,3.09424839e-09
0.0064,p,1.036470686e-08,1.816850861e-09
0.0064,p,1.816850841e-09,1.816850841e-09
0.0064,Ux,0.004763202851,1.049566348e-15
0.0064,Uy,0.2614545327,1.054488697e-13
0.0064,p,0.1620532889,3.479070561e-09
0.0064,p,4.153905947e-09,4.153905947e-09
0.0064,p,1.859074575e-08,2.927740738e-09
0.0064,p,2.927740771e-09,2.927740771e-09
0.0066,Ux,0.009393637488,7.64178829e-16
0.0066,Uy,0.01144558939,1.280012461e-15
0.0066,p,0.1706130252,3.616574222e-09
0.0066,p,3.088228965e-09,3.088228965e-09
0.0066,p,1.024571105e-08,1.804664204e-09
0.0066,p,1.804664184e-09,1.804664184e-09
0.0066,Ux,0.004662589989,1.026212542e-15
0.0066,Uy,0.2587113583,1.041104451e-13
0.0066,p,0.162366306,3.475815595e-09
0.0066,p,4.151048515e-09,4.151048515e-09
0.0066,p,1.83753391e-08,2.911201843e-09
0.0066,p,2.911201876e-09,2.911201876e-09
0.0068,Ux,0.009130807274,7.321667119e-16
0.0068,Uy,0.01115952384,1.228131445e-15
0.0068,p,0.1706448584,3.609311362e-09
0.0068,p,3.082288283e-09,3.082288283e-09
0.0068,p,1.013480319e-08,1.792755524e-09
0.0068,p,1.792755504e-09,1.792755504e-09
0.0068,Ux,0.004566444638,9.951786272e-16
0.0068,Uy,0.2558651555,1.027872451e-13
0.0068,p,0.1626657293,3.473801568e-09
0.0068,p,4.149593263e-09,4.149593263e-09
0.0068,p,1.817620354e-08,2.895512216e-09
0.0068,p,2.895512249e-09,2.895512249e-09
0.007,Ux,0.008881273789,7.003525235e-16
0.007,Uy,0.01090970412,1.237894965e-15
0.007,p,0.1706821824,3.595924386e-09
0.007,p,3.071092403e-09,3.071092403e-09
0.007,p,1.002872373e-08,1.779341675e-09
0.007,p,1.779341656e-09,1.779341656e-09
0.007,Ux,0.004474183071,9.694767132e-16
0.007,Uy,0.2531049232,1.014481142e-13
0.007,p,0.1629498711,3.471930794e-09
0.007,p,4.148241191e-09,4.148241191e-09
0.007,p,1.798827556e-08,2.880211734e-09
0.007,p,2.880211768e-09,2.880211768e-09
0.0072,Ux,0.008644111878,6.818281447e-16
0.0072,Uy,0.01061600341,1.18116058e-15
0.0072,p,0.1706952777,3.581280308e-09
0.0072,p,3.05828085e-09,3.05828085e-09
0.0072,p,9.919765264e-09,9.919765264e-09
0.0072,p,9.919765264e-09,9.919765264e-09
0.0072,Ux,0.004386376622,9.499738273e-16
0.0072,Uy,0.2439892222,1.08192876e-13
0.0072,p,0.1631819799,3.468676865e-09
0.0072,p,4.145968204e-09,4.145968204e-09
0.0072,p,1.780625889e-08,2.864897006e-09
0.0072,p,2.864897038e-09,2.864897038e-09
0.0074,Ux,0.008418406681,6.565111343e-16
0.0074,Uy,0.01029427529,1.121168516e-15
0.0074,p,0.1707080706,3.57392674e-09
0.0074,p,3.051663523e-09,3.051663523e-09
0.0074,p,9.820648494e-09,9.820648494e-09
0.0074,p,9.820648494e-09,9.820648494e-09
0.0074,Ux,0.004300645677,9.304875738e-16
0.0074,Uy,0.241603934,1.069926505e-13
0.0074,p,0.1633538093,3.466985776e-09
0.0074,p,4.144249627e-09,4.144249627e-09
0.0074,p,1.762147674e-08,2.849269204e-09
0.0074,p,2.849269236e-09,2.849269236e-09
0.0076,Ux,0.008202868729,6.400378016e-16
0.0076,Uy,0.01001675601,1.076767826e-15
0.0076,p,0.1706740293,3.569142085e-09
0.0076,p,3.047917363e-09,3.047917363e-09
0.0076,p,9.723855152e-09,9.723855152e-09
0.0076,p,9.723855152e-09,9.723855152e-09
0.0076,Ux,0.004218871448,9.137487593e-16
0.0076,Uy,0.2391836737,1.058303785e-13
0.0076,p,0.1634933617,9.995720946e-09
0.0076,p,1.194783742e-08,4.144304575e-09
0.0076,p,1.74400353e-08,2.834316805e-09
0.0076,p,2.834316837e-09,2.834316837e-09
0.0078,Ux,0.007997499337,6.294192378e-16
0.0078,Uy,0.009763911028,1.055684341e-15
0.0078,p,0.1706236518,3.582816213e-09
0.0078,p,3.060185976e-09,3.060185976e-09
0.0078,p,9.640539249e-09,9.640539249e-09
0.0078,p,9.640539249e-09,9.640539249e-09
0.0078,Ux,0.004141418665,9.160676501e-16
0.0078,Uy,0.2369000363,1.048621777e-13
0.0078,p,0.1636090363,9.997856535e-09
0.0078,p,1.194919911e-08,4.149208347e-09
0.0078,p,1.726687873e-08,2.821203179e-09
0.0078,p,2.821203211e-09,2.821203211e-09
0.008,Ux,0.007799974556,5.951994306e-16
0.008,Uy,0.009580150101,1.035940389e-15
0.008,p,0.1705505066,3.600618428e-09
0.008,p,3.075977231e-09,3.075977231e-09
0.008,p,9.566556974e-09,9.566556974e-09
0.008,p,9.566556974e-09,9.566556974e-09
0.008,Ux,0.004071193926,8.981110782e-16
0.008,Uy,0.2345445282,1.038410673e-13
0.008,p,0.1637000277,3.479304056e-09
0.008,p,4.157928751e-09,4.157928751e-09
0.008,p,1.710210969e-08,2.809881135e-09
0.008,p,2.809881167e-09,2.809881167e-09
